name,category,subcategory,lon_wgs84,lat_wgs84
,amenity:transportation facilities,taxi,-8.6281088,41.1572788
,amenity:transportation facilities,taxi,-8.5824766,41.1806482
Cepsa,amenity:transportation facilities,fuel,-8.6065633,41.1690632
CTT,amenity:public facilities,post_office,-8.6036937,41.1616838
Estação dos Correios de Eça de Queirós,amenity:public facilities,post_office,-8.5984026,41.1617461
Pingo Doce,"shop:general store, department store, mall",supermarket,-8.5982629,41.1679272
Bankinter,amenity:financial facilities,bank,-8.598209,41.1624527
Correios da Areosa,amenity:public facilities,post_office,-8.5828421,41.1827386
Scala,amenity:dining facilities,restaurant,-8.5922552,41.1607731
Vitória,amenity:dining facilities,restaurant,-8.5917705,41.160823
Barrigas,amenity:dining facilities,restaurant,-8.5975147,41.1590503
Al Forno,amenity:dining facilities,restaurant,-8.5932339,41.166263
Cidade,amenity:dining facilities,restaurant,-8.5982894,41.1656169
,amenity:public facilities,post_box,-8.6126932,41.1728121
Farmácia Nau Vitória,amenity:medical facilities,pharmacy,-8.5821356,41.1742172
Confeitaria Doce Alto,amenity:dining facilities,cafe,-8.5860532,41.1749994
Praça de Táxis do Conde de Ferreira,amenity:transportation facilities,taxi,-8.5892776,41.1696149
Farmácia Barreiros,amenity:medical facilities,pharmacy,-8.6210246,41.1606206
Hotel Grande Rio,tourism,hotel,-8.6067738,41.1583337
,amenity:transportation facilities,parking_entrance,-8.6289064,41.1486729
Farmácia Central,amenity:medical facilities,pharmacy,-8.6537608,41.1856917
Farmácia Pinhais da Foz,amenity:medical facilities,pharmacy,-8.6681147,41.1555613
Pingo Doce,"shop:general store, department store, mall",supermarket,-8.6661234,41.1592577
Cepa,amenity:dining facilities,restaurant,-8.6765313,41.1514604
Chapeu de Uvas,amenity:dining facilities,cafe,-8.5571266,41.1593804
Restaurante Ponte do Freixo,amenity:dining facilities,restaurant,-8.5573734,41.1586211
Pingo Doce,"shop:general store, department store, mall",supermarket,-8.6826241,41.1808261
Amadeos,tourism,hotel,-8.6818982,41.1809465
Residencial Portucalense,tourism,guest_house,-8.591617,41.168407
,"shop:outdoors and sport, vehicles",bicycle,-8.5912481,41.1686293
Loja CTT Conde de Ferreira,amenity:public facilities,post_office,-8.5882604,41.1711316
Farmácia Costa Cabral,amenity:medical facilities,pharmacy,-8.5876838,41.1721052
Farmácia da Cruz,amenity:medical facilities,pharmacy,-8.5907066,41.1687099
Café Barcarola,amenity:dining facilities,restaurant,-8.5942605,41.1668988
Farmácia do Amial,amenity:medical facilities,pharmacy,-8.6135012,41.1838825
Farmácia da Areosa,amenity:medical facilities,pharmacy,-8.5833519,41.1813214
Pingo Doce,"shop:general store, department store, mall",supermarket,-8.5855793,41.1761443
Porto Santo,amenity:dining facilities,cafe,-8.6023719,41.153331
,amenity:transportation facilities,parking_entrance,-8.636849,41.1401989
,amenity:transportation facilities,parking_entrance,-8.6381419,41.1419348
,amenity:transportation facilities,parking_entrance,-8.6369455,41.1401653
,amenity:transportation facilities,parking_entrance,-8.635341,41.1415315
,amenity:transportation facilities,parking_entrance,-8.635568,41.1419624
,amenity:transportation facilities,parking_entrance,-8.6381251,41.1419049
,amenity:transportation facilities,parking_entrance,-8.6408418,41.1404278
Farmácia Antero de Quental,amenity:medical facilities,pharmacy,-8.6110322,41.1627813
Farmácia Henriques,amenity:medical facilities,pharmacy,-8.6065682,41.1447786
Farmácia Saúde,amenity:medical facilities,pharmacy,-8.5988215,41.165371
Farmácia Alírio de Barros,amenity:medical facilities,pharmacy,-8.6013361,41.1639303
Farmácia Silva Pereira,amenity:medical facilities,pharmacy,-8.601383,41.1640646
Farmácia Cosme,amenity:medical facilities,pharmacy,-8.5975488,41.1659656
Farmácia Guerra,amenity:medical facilities,pharmacy,-8.6036776,41.1622917
Farmácia Martino,amenity:medical facilities,pharmacy,-8.6038802,41.1613002
,amenity:transportation facilities,parking,-8.6054149,41.160783
Sapaterio Varito,"shop:clothing, shoes, accessories",clothes,-8.5789379,41.1594124
Minipreço,"shop:food, beverages",convenience,-8.5800835,41.1586548
,amenity:public facilities,post_office,-8.5792089,41.1590407
Farmácia Central da Corujeira,amenity:medical facilities,pharmacy,-8.5803238,41.159248
Farmácia Central,amenity:medical facilities,pharmacy,-8.5579327,41.1827999
Farmácia Borralho,amenity:medical facilities,pharmacy,-8.594775,41.1558535
Farmácia Lousada,amenity:medical facilities,pharmacy,-8.6088261,41.169278
